iter	RMSE
0	1.154257224
1	1.1387647
2	1.123925398
3	1.109903927
4	1.096313511
5	1.083448676
6	1.070920229
7	1.058852826
8	1.047578951
9	1.036750971
10	1.026298937
11	1.016551382
12	1.006971535
13	0.9978472852
14	0.9891877801
15	0.9808528326
16	0.9728989399
17	0.9652533177
18	0.9581059254
19	0.9511149517
20	0.9443674336
21	0.9381291168
22	0.9320695537
23	0.9262262563
24	0.9206593428
25	0.915433641
26	0.9105277203
27	0.9057418402
28	0.9011504808
29	0.8967511722
30	0.8924629057
31	0.8885317859
32	0.8846533069
33	0.8808999056
34	0.877329995
35	0.8739314418
36	0.8707820729
37	0.8676535065
38	0.8644859224
39	0.8614217596
40	0.858503947
41	0.8558834795
42	0.853224944
43	0.8506840665
44	0.8482208924
45	0.8459101802
46	0.8436734823
47	0.8414801323
48	0.8394617739
49	0.8375073751
50	0.835602089
51	0.8337645359
52	0.8319579055
53	0.830373714
54	0.828843356
55	0.8272822958
56	0.8257313809
57	0.8242675288
58	0.8226927709
59	0.8212031511
60	0.8199041503
61	0.8186589857
62	0.8174534411
63	0.8162710041
64	0.8150266612
65	0.8140082568
66	0.8129070993
67	0.8118252125
68	0.8108335757
69	0.8098837484
70	0.8090068964
71	0.8079937642
72	0.8070803355
73	0.8062816516
74	0.8054527588
75	0.8046071243
76	0.8037503657
77	0.8029363361
78	0.8022344854
79	0.8014838061
80	0.8008679244
81	0.8002410213
82	0.7995694972
83	0.7989354445
84	0.7983308747
85	0.7976679483
86	0.7970973398
87	0.7964444618
88	0.795788577
89	0.7952548755
90	0.7946769558
91	0.7942013115
92	0.7935743252
93	0.7931133333
94	0.7926423637
95	0.7921506969
96	0.791662755
97	0.7911266209
98	0.7905946969
99	0.7901741779
100	0.7897656617
101	0.7892807743
102	0.7888188911
103	0.7884244545
104	0.7880104917
105	0.7876570719
106	0.7873400606
107	0.7869364731
108	0.7866218832
109	0.7862203288
110	0.7859188383
111	0.7855481522
112	0.7852547609
113	0.7849145443
114	0.7845060995
115	0.7842506856
116	0.7838732584
117	0.7836162908
118	0.7832748928
119	0.7829633612
120	0.7826997157
121	0.782378413
122	0.7820469591
123	0.7816941971
124	0.7814248667
125	0.781111143
126	0.7808539195
127	0.7805999946
128	0.7803675574
129	0.7801559192
130	0.7798971049
131	0.7796436801
132	0.7794752195
133	0.7793151964
134	0.7790339979
135	0.7788192183
136	0.7785456222
137	0.7783374465
138	0.7781923587
139	0.777963898
140	0.7777814121
141	0.7775541014
142	0.7773263682
143	0.7770797951
144	0.7768782088
145	0.7767169134
146	0.7765215567
147	0.7763158624
148	0.7761014117
149	0.7759511367
150	0.7757225596
151	0.7755284522
152	0.7754099553
153	0.7752078518
154	0.7749635068
155	0.7747958863
156	0.7745958476
157	0.7744653253
158	0.7743082573
159	0.7741040875
160	0.7739229865
161	0.7737337939
162	0.7736057756
163	0.773470481
164	0.7733638303
165	0.7732443027
166	0.7730885798
167	0.772965938
168	0.7727971681
169	0.7726933955
170	0.7725815632
171	0.7724108733
172	0.7723273117
173	0.7721917657
174	0.772052333
175	0.7719677739
176	0.7717329673
177	0.7715901628
178	0.771516631
179	0.771384266
180	0.7712854264
181	0.7712119111
182	0.7711183585
183	0.7710007332
184	0.7708852203
185	0.7707886255
186	0.7706506325
187	0.7705617308
188	0.7704100693
189	0.7703015389
190	0.7701854899
191	0.7700538676
192	0.7699482357
193	0.7698669859
194	0.7697581045
195	0.7696815002
196	0.769587898
197	0.7694692224
198	0.7694003187
199	0.7692735455
200	0.7692126786
201	0.7690944592
202	0.768925934
203	0.7687838554
204	0.7687044098
205	0.7686371814
206	0.768549599
207	0.768488834
208	0.7684144035
209	0.7683358291
210	0.7682550525
211	0.7681763823
212	0.7681324225
213	0.768023057
214	0.7679192286
215	0.7678629132
216	0.7677895487
217	0.7676806701
218	0.7675516176
219	0.7674320677
220	0.767351226
221	0.7672330422
222	0.7671717533
223	0.7671173791
224	0.7670273899
225	0.7668645188
226	0.7667740038
227	0.766681625
228	0.7666147302
229	0.7665391394
230	0.7663745489
231	0.7663152826
232	0.766271741
233	0.7662122022
234	0.7661198901
235	0.7660383189
236	0.7659725093
237	0.7659285655
238	0.7658517296
239	0.7658176923
240	0.7657677234
241	0.7656896184
242	0.7656198179
243	0.7655395808
244	0.765497642
245	0.7654223087
246	0.7653717102
247	0.7653235523
248	0.7652674382
249	0.7652179716
250	0.7651632241
251	0.7650457007
252	0.7649971322
253	0.7649465767
254	0.7649188056
255	0.7648853069
256	0.7648536975
257	0.7648081707
258	0.7646615963
259	0.7645925878
260	0.7645584421
261	0.7645014262
262	0.7644682037
263	0.7643814353
264	0.764339768
265	0.7642779704
266	0.7642330031
267	0.7641014427
268	0.7640729553
269	0.7639974771
270	0.7639445767
271	0.7638744077
272	0.7638232693
273	0.7637723011
274	0.7637446116
275	0.7637051461
276	0.7635158643
277	0.7634638011
278	0.7633613367
279	0.7633188357
280	0.7632783007
281	0.7632279767
282	0.7631817603
283	0.7631287204
284	0.7630941931
285	0.7630531911
286	0.7630081507
287	0.7629758193
288	0.7629175725
289	0.762887037
290	0.7628136196
291	0.7627588579
292	0.7627239332
293	0.7626990283
294	0.7626361858
295	0.7625992107
296	0.7625376213
297	0.7624765748
298	0.7624403839
299	0.762374591
300	0.7623104211
301	0.7621930892
302	0.7621485647
303	0.7620845541
304	0.7620545805
305	0.7619888854
306	0.7619458844
307	0.7619164595
308	0.7618970837
309	0.7618673449
310	0.7617355977
311	0.7616985263
312	0.7616284283
313	0.7615988349
314	0.7615781645
315	0.7615044225
316	0.7614781205
317	0.7614368824
318	0.7614190064
319	0.7612946317
320	0.7612592749
321	0.7612415346
322	0.761210039
323	0.7611929478
324	0.7611562654
325	0.761121076
326	0.7610989304
327	0.7610867147
328	0.7610676116
329	0.7610466597
330	0.761018469
331	0.760988108
332	0.7609591873
333	0.7609376478
334	0.7609000911
335	0.7608857085
336	0.7607640336
337	0.7607406637
338	0.7607259108
339	0.7606856455
340	0.760639631
341	0.7606265359
342	0.7605987824
343	0.7605668082
344	0.7604693764
345	0.7604089979
346	0.7603620014
347	0.7603380467
348	0.7602892369
349	0.760273894
