iter	Passed	Remaining
0	101	101870
1	222	110841
2	328	109076
3	437	108875
4	548	109223
5	638	105854
6	725	102857
7	843	104566
8	952	104891
9	1060	104995
10	1161	104417
11	1261	103840
12	1363	103509
13	1497	105449
14	1621	106500
15	1740	107037
16	1850	106999
17	1965	107215
18	2082	107514
19	2201	107888
20	2312	107802
21	2421	107663
22	2513	106754
23	2633	107091
24	2759	107613
25	2867	107425
26	2968	106958
27	3106	107845
28	3228	108091
29	3345	108161
30	3461	108200
31	3574	108114
32	3685	107999
33	3785	107542
34	3887	107179
35	4002	107166
36	4092	106521
37	4212	106638
38	4338	106903
39	4459	107021
40	4575	107020
41	4700	107213
42	4811	107085
43	4923	106979
44	5040	106973
45	5193	107715
46	5310	107681
47	5418	107475
48	5509	106919
49	5603	106464
50	5737	106754
51	5845	106561
52	5951	106343
53	6053	106045
54	6180	106193
55	6300	106210
56	6409	106039
57	6522	105936
58	6649	106059
59	6767	106017
60	6874	105818
61	6986	105706
62	7093	105495
63	7242	105927
64	7371	106036
65	7509	106265
66	7621	106128
67	7742	106118
68	7869	106185
69	7976	105976
70	8091	105872
71	8205	105754
72	8312	105552
73	8459	105854
74	8583	105862
75	8695	105713
76	8808	105585
77	8972	106055
78	9117	106290
79	9232	106170
80	9370	106314
81	9478	106113
82	9597	106039
83	9718	105976
84	9819	105707
85	9936	105600
86	10075	105738
87	10187	105576
88	10308	105520
89	10412	105285
90	10532	105211
91	10665	105264
92	10775	105092
93	10893	104990
94	11020	104981
95	11127	104783
96	11229	104541
97	11350	104472
98	11456	104269
99	11565	104088
100	11703	104169
101	11836	104209
102	11946	104043
103	12054	103851
104	12186	103874
105	12315	103868
106	12467	104049
107	12578	103888
108	12729	104056
109	12842	103904
110	12990	104039
111	13100	103868
112	13212	103708
113	13329	103594
114	13479	103729
115	13594	103600
116	13715	103508
117	13822	103316
118	13961	103360
119	14073	103205
120	14201	103164
121	14320	103060
122	14437	102942
123	14554	102821
124	14669	102685
125	14806	102706
126	14933	102651
127	15082	102746
128	15228	102821
129	15346	102704
130	15479	102682
